grupo,media vulnerabilidade,desvio padrao,n de estudantes
0,64.86486486486487,8.687126327978483,259
1,54.55696202531646,6.5174862010375065,158
2,60.51851851851852,10.079424773219095,135
3,57.5,7.308152359460695,122
4,60.73529411764706,6.149823261709401,102
5,60.588235294117645,12.475859041506096,51
6,70.0,,1
7,55.0,,1
8,60.0,,1
9,60.0,,1
10,60.0,,1
11,60.0,,1
12,70.0,,1
13,65.0,,1
14,70.0,,1
15,60.0,,1
16,65.0,,1
17,55.0,,1
18,65.0,,1
19,65.0,,1
20,60.0,,1
21,50.0,,1
22,70.0,,1
23,70.0,,1
24,70.0,,1
25,65.0,,1
26,65.0,,1
27,70.0,,1
28,65.0,,1
29,70.0,,1
30,65.0,,1
31,55.0,,1
32,70.0,,1
33,65.0,,1
34,60.0,,1
35,65.0,,1
36,70.0,,1
37,65.0,,1
38,65.0,,1
39,60.0,,1
40,65.0,,1
41,60.0,,1
42,65.0,,1
43,65.0,,1
44,60.0,,1
45,65.0,,1
46,65.0,,1
47,70.0,,1
48,60.0,,1
49,60.0,,1
50,70.0,,1
51,70.0,,1
52,65.0,,1
53,70.0,,1
54,70.0,,1
55,70.0,,1
56,60.0,,1
57,65.0,,1
58,60.0,,1
59,70.0,,1
60,60.0,,1
61,60.0,,1
62,70.0,,1
63,60.0,,1
64,65.0,,1
65,65.0,,1
66,55.0,,1
67,70.0,,1
68,70.0,,1
69,55.0,,1
70,70.0,,1
71,70.0,,1
72,70.0,,1
73,60.0,,1
74,70.0,,1
75,70.0,,1
76,60.0,,1
77,70.0,,1
78,60.0,,1
79,60.0,,1
80,65.0,,1
81,70.0,,1
82,65.0,,1
83,55.0,,1
84,65.0,,1
85,65.0,,1
86,70.0,,1
87,60.0,,1
88,70.0,,1
89,65.0,,1
90,60.0,,1
91,65.0,,1
92,70.0,,1
93,70.0,,1
94,60.0,,1
95,65.0,,1
96,55.0,,1
97,65.0,,1
98,65.0,,1
99,65.0,,1
100,60.0,,1
101,65.0,,1
102,70.0,,1
103,60.0,,1
104,60.0,,1
105,65.0,,1
106,65.0,,1
107,70.0,,1
108,55.0,,1
109,60.0,,1
110,65.0,,1
111,55.0,,1
112,70.0,,1
113,65.0,,1
114,70.0,,1
115,70.0,,1
116,70.0,,1
117,55.0,,1
118,60.0,,1
119,55.0,,1
120,60.0,,1
121,60.0,,1
122,70.0,,1
123,55.0,,1
124,70.0,,1
125,70.0,,1
126,70.0,,1
127,70.0,,1
128,70.0,,1
129,70.0,,1
130,70.0,,1
131,65.0,,1
132,60.0,,1
133,55.0,,1
134,70.0,,1
135,55.0,,1
136,65.0,,1
137,70.0,,1
138,60.0,,1
